time	V(in)	V(vt1)	V(vt2)	I(D2)
4.204785714332332e-004	5.010829e+000	5.299374e+000	4.800185e+000	1.774150e-015
4.240271428618044e-004	4.998627e+000	5.299374e+000	4.800185e+000	1.774150e-015
4.275757142903757e-004	4.988866e+000	5.299374e+000	4.800185e+000	1.774150e-015
4.311242857189469e-004	4.981543e+000	5.299374e+000	4.800185e+000	1.774150e-015
4.346728571475182e-004	4.976661e+000	5.299374e+000	4.800185e+000	1.774150e-015
4.382214285760895e-004	4.974219e+000	5.299374e+000	4.800185e+000	1.774150e-015
4.417700000046607e-004	4.974216e+000	5.299374e+000	4.800185e+000	1.774150e-015
4.453185714332320e-004	4.988702e+000	5.299374e+000	4.800185e+000	1.774150e-015
4.488671428618033e-004	5.000830e+000	5.299374e+000	4.800185e+000	1.774150e-015
4.524157142903745e-004	5.010598e+000	5.299374e+000	4.800185e+000	1.774150e-015
4.559642857189458e-004	5.018009e+000	5.299374e+000	4.800185e+000	1.774150e-015
4.595128571475171e-004	5.023060e+000	5.299374e+000	4.800185e+000	1.774150e-015
4.630614285760883e-004	5.025753e+000	5.299374e+000	4.800185e+000	1.774150e-015
4.666100000046596e-004	5.026087e+000	5.299374e+000	4.800185e+000	1.774150e-015
4.686800000046595e-004	5.021399e+000	5.299374e+000	4.800185e+000	1.774150e-015
4.720642857189452e-004	5.006454e+000	5.299374e+000	4.800185e+000	1.774150e-015
4.754485714332309e-004	4.994303e+000	5.299374e+000	4.800185e+000	1.774150e-015
4.788328571475166e-004	4.984944e+000	5.299374e+000	4.800185e+000	1.774150e-015
4.822171428618023e-004	4.978379e+000	5.299374e+000	4.800185e+000	1.774150e-015
4.856014285760880e-004	4.974608e+000	5.299374e+000	4.800185e+000	1.774150e-015
4.889857142903736e-004	4.973630e+000	5.299374e+000	4.800185e+000	1.774150e-015
4.923700000046594e-004	4.975445e+000	5.299374e+000	4.800185e+000	1.774150e-015
4.958528571475172e-004	4.990063e+000	5.299374e+000	4.800185e+000	1.774150e-015
4.993357142903750e-004	5.002207e+000	5.299374e+000	4.800185e+000	1.774150e-015
5.028185714332328e-004	5.011878e+000	5.299374e+000	4.800185e+000	1.774150e-015
5.063014285760905e-004	5.019074e+000	5.299374e+000	4.800185e+000	1.774150e-015
5.097842857189484e-004	5.023797e+000	5.299374e+000	4.800185e+000	1.774150e-015
5.132671428618061e-004	5.026047e+000	5.299374e+000	4.800185e+000	1.774150e-015
5.167500000046640e-004	5.025822e+000	5.299374e+000	4.800185e+000	1.774150e-015
5.202985714332361e-004	5.011356e+000	5.299374e+000	4.800185e+000	1.774150e-015
5.238471428618081e-004	4.999238e+000	5.299374e+000	4.800185e+000	1.774150e-015
5.273957142903803e-004	4.989469e+000	5.299374e+000	4.800185e+000	1.774150e-015
5.309442857189524e-004	4.982048e+000	5.299374e+000	4.800185e+000	1.774150e-015
5.344928571475245e-004	4.976975e+000	5.299374e+000	4.800185e+000	1.774150e-015
5.380414285760966e-004	4.974251e+000	5.299374e+000	4.800185e+000	1.774150e-015
5.415900000046687e-004	4.973876e+000	5.299374e+000	4.800185e+000	1.774150e-015
5.451714285760979e-004	4.988395e+000	5.299374e+000	4.800185e+000	1.774150e-015
5.487528571475272e-004	5.000556e+000	5.299374e+000	4.800185e+000	1.774150e-015
5.523342857189564e-004	5.010359e+000	5.299374e+000	4.800185e+000	1.774150e-015
5.559157142903857e-004	5.017804e+000	5.299374e+000	4.800185e+000	1.774150e-015
5.594971428618150e-004	5.022892e+000	5.299374e+000	4.800185e+000	1.774150e-015
5.630785714332442e-004	5.025621e+000	5.299374e+000	4.800185e+000	1.774150e-015
